filename	cell_ID	cell_area	img1_cell_intensity_mean	img1_cell_intensity_std	img1_spot_count	img2_cell_intensity_mean	img2_cell_intensity_std	img2_spot_count	img1_2_coloc_org	img1_2_coloc_scr	scrambles	img0_sigma	img0_min_size	img0_min_distance	img0_dilation	img0_thresh_bg	img0_min_size_bg	img1_sigma	img1_block_size	img1_min_distance	img1_thresh	img2_sigma	img2_block_size	img2_min_distance	img2_thresh
/Users/beichenberger/Downloads/20190705_FISH/pIM52_6h_12_w1conf405.stk	1	13137	375.84886199284466	284.1530231780404	1	375.84886199284466	284.1530231780404	1	0.8611930003911243	[0.001022666147168435, -0.00021221287589122335, 0.00023976075245052788, 0.0005670376756889648, -0.00037848027901805676, -0.0018704132493017548, 0.00030472191831772724, 0.0006741865959686908, -0.0017528762217321428, -0.0019273072813859966, 8.887850876237308e-05, 0.0001720848718929073, -0.0011462070544890235, -9.922899980112521e-05, -0.0005793704713021207, -0.0012205934410838906, -0.0008156027608690773, -0.00019459145349269252, 0.001228428793713627, -0.0008339810956071005, -0.00031396274431110937, -0.001767724669282162, 0.001991281301512535, -0.0010140834613211322, 0.0008682406332424828, -9.147613283054992e-05, 0.0009682229958072334, 0.0013422074751168133, 0.0020115688268676404, -0.0011131329490823736, 0.0018890158006624697, 0.0008207103776707638, 0.0012010317156594685, -0.00010794537705484522, 0.000708553632580185, -0.0018180452406852145, -0.0011475512116655795, 4.408474806309544e-05, -0.0005292419674543808, 0.00017594977424063263, -1.5350627384628956e-05, -0.0003559481859739644, -0.000150389634788334, -0.0002656381839431606, -1.5540893079390453e-05, 0.0016329629448346892, 0.0007385011018019069, -0.0012661672957517932, 0.000963675788927547, -0.0016663391193568878, -0.0020064181194176843, 0.0019858912820562608, 0.002373339902589899, 0.0011743605602532689, -0.0007728498883131801, -0.000579386283783578, -0.0005396914265562758, -0.00012943956761545534, 0.0009710814935801333, 0.0009368860841869496, -0.0005551202002607995, 0.0005214963931158044, -0.0017066126279324063, -0.0009998095185299858, -0.0005453470433391518, -0.000529623630781936, 0.0008278367554353033, -0.0022363840538751037, 0.0007938787796721589, 6.261778485060451e-05, 3.9104698085728096e-05, 0.0003031980217002028, -0.0005530011814414612, 0.002145262668360897, 0.000845457696567642, -0.0004164670147861045, -0.0004179296596949893, -0.0006115717292727355, 0.0021123487398877544, 0.00013506461870792415, -0.0008195088365006095, 0.0002005817163097677, -0.002495450948853448, 7.279073150901329e-05, 0.0005827523523025823, 0.0012735709949738489, -0.0021613137456939226, 0.00010018300845182314, -0.0012414998554896041, 0.001674668220281296, -0.0006062496646004016, 6.429723824630716e-05, -0.0001373019746176287, -0.0017211125887199238, 0.0006417376014217505, 0.0017014714312758453, 0.0005961749660309074, -0.0010704864325010626, -0.00019488483335308363, -0.0001250364056270735, 0.0014723535763720163, -0.0010686405880630124, -0.0007576793273870699, -9.213036606904423e-05, 0.00161653555921722, -0.000475682043478063, 0.0011165759200860404, -0.000720175490249019, -0.00013972859567534451, -8.36592283167168e-06, 0.0002475759568662298, -0.0004065854189698731, 0.002509590203054648, 0.0010454720806661706, 0.0015064703122210153, -0.0006462120634696577, 0.0006879399820141457, 0.0005727953517020135, 0.0003542241793677124, 0.0024771501870094973, -0.0008242608625641985, -0.0008157594303346754, -0.0013655156267070052, 0.0010079049628013087, -0.00028428475719656396, -0.0005638647989630602, -0.0011851529537441517, 0.0002541669856879019, -0.00044051094969254674, -0.00023061371463560808, 0.00044221943355085693, 0.00028462512837315373, 0.00021680855638696997, 0.0012253849930627878, 0.0007316265032495906, -0.001401715178608586, 7.489714115453057e-05, 0.00032805458031860224, 0.0006738526857960961, -0.0009765767019348879, 0.0002904480602294237, 0.0012662118922875298, 0.0003951627592960013, -0.0008013560384927926, 2.175907970686268e-05, -0.0007750918879658319, -0.0013599189515551325, 0.0007271548436089941, 0.0018318500187448118, 0.0022581494980893, -0.000895439267440157, 0.00011646178292451727, -0.00123485324619989, 0.0005674051435893868, -0.0001368237461945794, -0.0008776526205885094, -7.341625384568443e-05, 0.000992304989242802, 0.0009211669452733643, 0.0006624632022003932, 0.002210058713728458, -2.9328044759691594e-05, 0.0009096491060636805, 0.00021232749858053377, -0.001212415916390755, 0.0015042270304752754, 0.001407246498300762, 0.0007964779596794897, -2.1071326754920568e-05, -0.0002609865885049903, 0.0016536859891274165, -0.00024509780133960855, 0.0009009421115752886, -0.00044411488641934175, 0.0010109897326791102, 0.0018299632589816128, 0.0012585308302302987, -0.0005370057918932385, -0.00079734149701574, 0.0018550037844830476, -0.0007792437751089916, 0.001135027522786576, -0.0014973357834765111, -0.0012378801024312204, -0.0009879296362521868, -0.0012872011956422352, -0.0006248154698392363, 0.00047082509417493686, 0.00031433705822848934, -0.0007067117763893031, -0.001440413071778345, 0.0010486318087133016, -0.001477130931950032, -0.0003267707772836472, 0.00018312616518608636, 0.0007951825104900033, 0.0007697305101090708, 0.00010960158385613275, -0.00099845305633987, 0.0003392681630523701]	200	3	200	50	5	3255	10000	1	5	0	5000	1	5	0	5000
/Users/beichenberger/Downloads/20190705_FISH/pIM52_6h_12_w1conf405.stk	3	33080	428.928022974607	191.59629948856445	4	428.928022974607	191.59629948856445	4	0.8126027732372152	[0.0007899111761178763, -0.0008318114430315861, 0.0008143263438875906, 0.0022359056576471393, 0.0002865092818577169, 0.0025476725269509806, -0.0002791248135106529, 0.0026492647117347815, -0.0016942737151895454, -0.0011993842393373203, 0.0010160907526287832, -0.0007527200684279522, 9.419850594340938e-05, -0.00026020786135031007, -0.00027099918427441047, 0.00012057993325097646, 4.364025692837039e-06, -0.0008395100024233086, -7.416961379053141e-05, 0.0006644457057352925, -9.398688178653225e-05, -0.0014753809063158254, 0.0008213257552927521, -0.0007043603527601176, -0.002278139960891108, -0.0010683859123719192, 0.0007479119828029874, 0.00034031421211635316, 0.0001502987913186806, 0.0007453434150201209, -0.0009043970230078397, 0.0009071133928982651, 0.0012823585380485004, -0.0003376803383404709, -0.000625786141375608, -0.0007498974938522949, -0.000760854252179024, -0.0012628123302161804, -0.0011777229795744296, 0.0007180604183289935, 0.0001907489362290882, 0.0004732552268540543, 0.0002633940052840269, 3.587723756263334e-05, -6.652358691968654e-05, -0.000466636187522711, 0.0012647903401284534, 0.0007125070491440077, 0.0007232264209505308, 0.0004330501518261994, -0.0014351550223926804, -0.0019156595548217952, 0.0005155834321778868, 0.00042530893381923125, 0.0005631623774294979, 0.0007242176709242467, 0.0004503608659407506, -0.001813337265749109, 0.000738985999946529, -0.0018464959960315917, 0.0010931642189882789, -0.0007877463217241536, -0.0013174225447168133, 4.071237444377299e-05, 0.0018386015437672138, -6.067655324440977e-05, -0.0008572318625252993, -0.0015469214806386156, 0.0007719483537186126, -0.0007258009880908995, -0.00014423543331496008, -0.000593045004621915, 0.001361113561689971, 0.003462395039257945, -0.0012319124451509204, 0.00031651536447162076, -0.00223439442592529, 0.0007242873960446452, 0.000307403623541901, -0.0027644072581869492, -0.001113919072499828, -0.0006069136205245015, -0.0008171616641876821, -0.002157582064731918, 0.00012211141932260043, -0.00010964106399373088, 0.0009183162669969948, 0.00021528712643093098, 0.0005070127782391832, 0.0011635646598319805, -0.0009208333988513211, -0.0008079184197511799, -0.0009144353435012432, -0.0012134060489241412, 0.0008090110095223463, -0.0004996430992250287, 0.0001101465147158029, 0.00043829049616980645, 0.00014437607627110552, 0.0011879467162099404, -0.0011974528765473222, -0.0014967521128193481, -0.0006561413535430753, -2.62399005095791e-05, 0.001162251830502085, -0.000215022093535835, 0.0005127324565117025, 0.0011268362986653344, -0.0004610527357203249, 0.00013769871778467548, 0.0017419600147361718, 0.0007580327943461227, 0.0004496548728228745, 0.0004638536149992061, 2.0270269794249483e-05, 0.00024667416553809, 0.0010848306198227803, 0.00044533309293355556, 0.0003908264923980336, 0.001479992273444749, 0.00038265156200885234, 0.0002855723877473146, -0.0004613332442886246, 0.0008202346747894445, -0.0003689455199287335, 0.00021153532591266003, -0.0003918105098346293, 0.00012942990552054364, -0.0008301975190910554, 0.0006686827179293054, 0.002128391332675143, -0.0009904364515386282, 0.001724916481063344, -0.0004108932266122038, 0.0006966837823169547, 0.0006507644509278529, -8.148036091289102e-05, -0.0009587687493855603, 0.000519061837695663, -0.00032182105290348435, -0.0011025630173789364, 0.0016118068804198632, -8.480809756922556e-05, 0.0002833246522567141, 0.0006902271368973097, 0.002359844066095853, -0.0009423077533546481, 0.0004950030725898165, 0.0008737406402026665, 0.0009048380363025167, -0.0015170941159703265, 0.0013338783973481836, -0.0010765358528403235, -0.0012683007656194417, -0.0006570419302179948, -0.0002661892525697339, 0.00035413902728228695, 0.0002755824491383666, -0.0001928339308664487, -0.0016693500374799165, 0.0008332464666377861, 0.002266958926328145, 2.718870960172336e-05, 2.1313872487050236e-05, -0.0004635547287132925, 0.0002899851448258234, 0.0005797074700644064, 0.0005826385765648454, 0.0010942420118837276, -0.0003999801677253336, 0.0010773509906741657, 0.0009103032949977515, -0.0003273742574811523, 0.00030172693309922657, -0.00022349610779416677, -0.0011241727120053864, 0.00016352032579030744, 0.0005290341987772478, -0.0001013437544071204, -0.00014181631883197494, -1.827477605419791e-05, -0.00028473246258632184, -0.0006355803416439734, -0.0017264143822351605, -0.00034357832937141494, -0.0005239304785481429, 0.001382508874299669, -0.0005296071056803096, 0.0007446514489767297, 0.002081831706740731, 0.0007779435820810068, 0.0001987738131348449, -0.0008786715633930943, -0.0007028101799611418, -9.731134402375415e-05, -0.00017064011583556163, -0.0006219130100817847, -0.0007355529323988162, -0.0002499220170593476, 0.0016971118868856388]	200	3	200	50	5	3255	10000	1	5	0	5000	1	5	0	5000
/Users/beichenberger/Downloads/20190705_FISH/pIM52_6h_12_w1conf405.stk	5	3361	508.20127938113654	307.63012492622363	1	508.20127938113654	307.63012492622363	1	0.8690049908870495	[-7.301919329449776e-05, -0.00118491933945388, 0.0004207465428329461, 0.0006779835656733583, 0.00020795568138987742, 0.00027442802829113187, -0.0006394315997623773, -0.001341218827889034, -0.00018494097816685085, -0.001109356180963056, -9.607515259284475e-05, 0.0011671294953379077, 1.1414801096204709e-07, -0.0007328244915268414, -6.747612304527247e-05, -0.00023132260920705856, 0.0017365086585110453, -0.0010988522076535306, 0.0009113859576757711, -0.0012120835104271932, 0.0008135982853915209, -0.00027830578929121855, 7.5807020195090074e-06, 0.0013220623725789075, -1.5036239220213384e-05, -0.0012205830651988807, -0.0006259845508870171, 0.0012682623916267814, 0.001970798737471677, 0.0004973641784650817, -0.0005911595664021211, 0.0016432408869433619, -0.0006772718958065982, -4.9689973891476434e-05, 0.00035353411773433684, 0.000737870180699706, 0.00012009099777996944, -0.0016714511539419074, -1.2656139399368786e-05, 0.0012609245255194791, -0.00040585738671276226, 6.340436310487609e-05, -0.0015559669760889646, 0.0005800394455402837, -5.6620380089905286e-05, -0.0007703955461447338, 0.0013349742958515677, -0.0018771218794655688, 0.00035722250279452626, 6.0751183568907716e-05, -0.0009386940764870931, 1.9785398036338543e-05, 0.0007849915091149042, -0.0012806680486013094, -0.0009845709575206434, -0.0011037110703579116, -0.0004903377919803084, 0.0001415438952695228, 0.0019718032166424347, 0.00012619621197790845, 0.0019258879928076653, 0.001272568801309969, -0.0001323918784903578, -0.0016700535558315545, 0.000667585481030188, -0.0022912570034440685, 0.000732490844032832, 0.00023959086751154738, -0.0011333983700226305, -3.480356672474955e-05, 0.00021143915394195535, -0.0008537100235934842, 0.001475729977466739, 0.00045743930077090186, 0.0001458986693956236, 0.00036480536797684116, 0.000831829275177787, 0.0013415390424087478, 0.0017008053071947058, 0.0014631166991171693, -0.0011236577652058522, -0.00046197437122947, -0.00015401538440848757, -0.0011570186479659922, 0.0005339216542615279, -0.0001387425828237671, -0.0007656400065664572, 0.0011195845220624808, -0.0006161671702730421, -0.00029135687308074734, 0.0002053549851915941, -0.00031217597188330483, -0.0001915471642125, 0.0007035492346848659, -0.0005168125241117976, -0.00230428724221885, -0.0011908911154923946, -0.0006954640617528607, -0.0008287910811867928, -0.00041253032691386884, -0.0013116932173917548, 0.00011888074423986895, 0.0006369319447795088, 0.0009750843442150955, 5.175190900054991e-07, 0.001073642730855491, -0.00015468785661086333, -0.0011697254883626144, 5.209070485908482e-06, 0.0010996955017626034, 0.0019414874999123138, -0.0005652274660829354, -0.0018771761666987335, 0.0018767440665965536, -0.0007348658999442525, 0.0005999968835881373, -0.000534995911099941, 0.0020736853108226545, -0.0028814933276149718, 0.0007286076983874973, 0.0003950113577518337, -0.000538557311937989, -0.001383970690451411, 0.0018581262213967608, -0.0005175646783874874, -0.00028783747294314254, -0.00047193206484908573, 0.0023318046790862888, -0.00036491720647476993, -0.00029247778368499073, 0.0019181762994211085, 0.0015626833030007161, -5.9494727236877905e-05, -0.0002803414753512323, -0.0003114953821511298, -0.00045454381495794663, -0.00010566806847565045, -0.0003355932915386468, -0.0003877058685452999, -0.0003289067519697142, -0.0004148778964857028, -0.001250319390734861, 0.00014490002282031733, -0.0012312800753711052, 0.0018749850179344304, 0.0010576945708355807, 0.00010858003988924877, -0.0008807787785160216, -0.00031414782008559375, -0.00028990999855808657, 0.0003848251807227412, 0.0005493722798568283, -1.2985550762557812e-05, -0.0007063317705484475, -7.047018872418168e-05, 0.0023975475406653843, -0.0007616933337343109, 0.0006110378064391408, 0.00015495211028324472, 0.0008154926161951087, -0.0015545225268036031, 0.0002648268946621276, -0.0007239634060302938, -0.0015686980989234654, -0.0001035789770869426, -0.000305642963865472, -0.000736462387556089, 0.0007875926763303433, 0.00016691162683552685, 0.00020280768430038068, -0.0016295050514167192, 0.0012518437355716113, -0.0011087282349148114, -0.0001589086814737761, -6.062593006712588e-05, -0.00013511134116461808, 0.0009528570243619865, -0.00014524840212764033, -0.0006185716327049286, 0.0017017014724618057, 0.0005058475783502857, 0.0007487181268178244, -0.0027592379573855223, -0.00019450188492601495, -0.00029990122459090744, -0.0006772391951896913, 0.0011593238791251844, -0.0004995166837789537, -0.0006465250881364438, 0.0003138781808172346, -0.0006319099567892973, 0.0012633632118577748, 0.0010274197824902184, -0.0005795332794585341, 0.001036046030856462, -0.00045589871085294085, -0.00017842351371529866, 0.0009736950540457554, -0.0011131373263390057, -0.00019071275230163163]	200	3	200	50	5	3255	10000	1	5	0	5000	1	5	0	5000
