filename	cell_ID	cell_area	img1_cell_intensity_mean	img1_cell_intensity_std	img1_spot_count	img2_cell_intensity_mean	img2_cell_intensity_std	img2_spot_count	img1_2_coloc_org	img1_2_coloc_scr	scrambles	img0_sigma	img0_min_size	img0_min_distance	img0_dilation	img0_thresh_bg	img0_min_size_bg	img1_sigma	img1_block_size	img1_min_distance	img1_thresh	img2_sigma	img2_block_size	img2_min_distance	img2_thresh
/Users/beichenberger/Downloads/20190705_FISH/ATF4_6h_8_w4conf640.stk	1	45847	283.42332104608806	111.51918298579963	1	283.42332104608806	111.51918298579963	1	0.8989977557339457	[-0.0009745912054836038, -0.0011705216586242728, 0.00038044009249044717, -0.0011592912587602756, -0.000915937745555087, -0.0007329617709879103, 4.8649103101300014e-05, -0.00012860583772448132, -0.0005257888059983135, -0.00011411706975211392, -0.0005853837307782366, -0.0004352716435757116, 0.002591523108263113, 0.0012398918336856946, -0.0005256266501509219, 0.0016191510262250376, -0.00022173230886928953, 0.00016715909447663079, -0.00038702560508990596, 0.0005149332562700902, -0.0009547429495724434, -0.00010255820750591637, -0.0012891011391342106, -0.00036737370459775167, -0.0012766674323137829, -0.0021228998793338325, -0.0027007674072778492, 0.0009662815531351894, -0.00121368089887119, 0.000433318437661952, -7.092156330982504e-05, 0.0010355996201680043, 0.00012534737141443576, -0.00168881206788865, 0.003006879111515238, -0.0016510529504616843, -0.001690880008379514, 0.000981607059580857, -0.0016060441952897271, -0.00046760859419577017, 0.0012666833176665233, -0.001103986147913993, 0.00035674774194767987, 0.002299902018341184, 0.0009871906497608961, 0.0015819977173236915, -9.490084320079126e-05, -0.0005250183390049414, -0.0011286303400267286, 1.0476338280602951e-05, -0.0005340363003921093, -0.0005435338841752057, 6.052315599391291e-05, 0.0010792467318661118, -0.00048369544658639316, 0.001974369620314702, -0.001181651186319898, 0.0006828815449343201, -0.0009782213129945897, 0.0004422482667007882, -0.00033214312316681504, -0.00033503748645190247, 0.0016546444787129376, -0.00023251351017859357, -0.0007400818043899873, -0.0005358335306074684, -0.000854570974280639, -0.0014913712441213952, 0.002005028550903851, -0.001550782928259348, 4.762176436385202e-05, 0.001373666082707331, -0.0006275436668676592, -0.0009132800848123876, -0.0012963188706495803, 0.00034942322615036923, -0.0007972608808494399, 0.0010630349664558065, -0.0004514675648703482, 0.0006248603323639884, 9.286450145950532e-05, -0.0011517201084185699, 0.0003775923023598576, 0.0004688629976687895, -0.0003748708314403979, -0.001242813065362355, 0.002032771702056009, -0.0006057559935370053, 0.0007156342967712203, -0.0010827003066449686, 0.00039657923831067543, 0.0009817917215716103, -0.00011434047439884442, -0.0005456493046934204, -0.00138651840084495, -0.0004003338164072671, 0.0010648376117486722, -0.0007520892809554927, 0.0010295105704347944, 0.0003733426611509987, -0.0004339773354133991, 0.001111605273036745, 0.00015782046632605799, 0.0008030949313414324, 0.0004218338779526362, -0.0005667684819104474, 0.0018024045823738395, -0.00048668434264958625, 0.000328892016479006, -0.00022593509788586063, 0.0006497387069588487, -0.0007724051780766196, -0.0008209385208676507, -0.0010019825073970918, 0.00041775185126831854, 0.0002003759559512056, -0.00029457389968954586, -0.00037874473951801386, 0.0008761771835529855, -0.001790494762604365, -0.0012122056695687555, -0.0005949711124165945, -0.001964464809289957, 0.00027340737096170334, 0.0006928381982346594, 0.0010645956946872346, -0.0015720770796231682, -0.0003363173108078704, -0.0005004747836224049, -0.0004472439090575556, 0.0005196473384740029, -0.0007012495947446065, -0.0003437125626900347, -0.00028080466559029594, 0.0005610715216176241, 0.000931220539493505, 0.0005982455229166207, -0.0011865564007038543, 0.0006705872610997068, 0.0009703758400432897, -0.0020947264605983918, -0.001168711819387864, -0.0004199561214517021, 0.00041006310392949143, -0.0026980912428403794, -0.0004393980721515456, -0.0019305280825849013, 0.0008653526529037208, -0.0009805507380732847, -0.0005572672531959065, 0.00015440305538583817, -0.00087460700519818, -0.0005409514851618322, 0.0021278210053104533, -0.0008032733085439773, -0.0009756328274689778, -6.21114240516742e-05, 0.000823000921919488, 0.002012234170434262, 0.00056428413624508, 0.0006016556875936706, -0.001052562322207416, -0.0004646530257110544, -0.0012089856517193973, 0.0001850728946093773, -0.001431762036093564, -0.0001284040933877732, -0.00013535581467076534, 0.00035342673857087286, -0.0007070888097185263, -0.0008289698219981122, -0.00022484116503103147, -0.0008621394563233149, -0.0007071852260018531, -0.0010437907948062553, 0.0015313493638512206, -0.0020847948160618193, 0.00035643356281335513, 0.0008711783432637911, 0.0004522670582334712, 0.0007673596489913973, 3.4058428097675857e-06, -0.000696230559093915, 0.0001316672638959957, -0.0009097248466338583, 0.0008142021883318314, -0.0007425249112165191, 0.0004842251888665328, -0.0003513252024661423, -0.0021541853718857495, 0.0004918687059203172, -0.0004868218210906487, -0.0008811817551196322, -0.0016540343909833778, 0.00034468352478747853, 0.0013416776415921252, -0.001625250289280582, -0.0011500918879168123, 0.00020414817218687036, -0.0013463986409842758]	200	3	200	50	5	1207	10000	1	5	0	5000	1	5	0	5000
/Users/beichenberger/Downloads/20190705_FISH/ATF4_6h_8_w4conf640.stk	2	89570	655.4996259908452	113.21300316188616	3	655.4996259908452	113.21300316188616	3	0.9138306207787883	[0.0007516223320853122, -0.0005906545830342897, 0.001316302995563345, 0.0009487264982715847, -0.0009446451322234011, 0.00042385393961444015, -0.00013040411116829279, 0.0011919454194272423, -0.0007288048783755507, -0.0007202075717394877, -0.00123953835153383, -0.0008201483116231192, -0.0014678153672436182, -0.00044479344354800255, -0.0002387121100035864, 0.0008377452465560662, 0.00013637228325507356, -0.0004073826980586913, 0.0011078744508027883, -0.000548506708255088, 0.0012505669472131179, -0.0007212181448246165, 0.0005384090994536952, 0.0018841516649632834, -0.000968831593446335, 0.0016003177506065235, -0.0009440840683970453, 0.002219931965635516, -0.0008359528768875856, -0.001046267952950608, 0.0009735487573990038, -0.0001399097948872873, -0.00010932748194899183, 0.0003966667926301084, -0.0012104658014188748, 0.00043818846188825, -0.0006234989448278443, 0.0012308497241525105, -0.0006111173289411553, -0.0009100410561648974, -1.1777174538723947e-05, 2.0612364482000393e-05, -5.440759121456753e-05, 0.0002652449843359282, 0.001838697539369894, -0.001669872920987591, 0.000218824915668069, -0.0004908627676800661, -0.0011149728468961364, 0.0006127391692970591, 6.993215045357834e-05, 0.0014660999875913214, -0.001029028581067999, 0.0005666471648190205, -0.0005500655377856736, 0.0023137697459209216, -0.0018084013643341413, 0.0003581859732202619, -0.00047774611568439406, -0.000314499497292944, -0.0013561995159408705, 0.0010448019343494562, -0.0006332960943742111, 0.001496623565448115, -0.0005920383296467767, -0.0005549451265373145, 0.001415690317469145, 2.2220517919615548e-05, -2.4251522644083735e-05, -0.0001693056685320656, -0.00030304354933032235, 0.001152867604209968, 5.652180314032293e-06, 0.00017755648883985482, 0.0017663170966161856, 0.0007706819712493587, 0.001954333943784663, -0.0012802020256424498, 0.0001313797253369437, -0.0006527143986586996, 0.0013315971828983342, 0.00011710341205414056, 0.0014712237290981209, 0.00035172830002581137, -0.0006810437348801305, 0.0011083158173496943, 0.00010096648034868884, 0.0006501356226611377, -0.0012115375354472494, 0.00014908304473981528, 8.57744807963745e-06, 0.0015634249002953815, 2.4766112017512643e-05, 0.00025106453643295465, -0.0009649946166912296, 0.001644707127484197, -0.0009599954124964871, -0.0012021632282167712, -0.00018134337905950702, 0.0002207554690544087, 6.311962921747081e-05, -0.00108551704569808, -4.157954662126006e-05, -0.0008405645686661754, 0.0005342389963491512, 0.0007444137874578597, 0.0005109853754173965, -0.000998470398147236, 0.0006469924599016732, -0.0010182986379940005, 0.0019131414668881802, 0.001101235480976855, 0.00036938348799342327, 0.0014535646422153704, 0.0004490243186705532, 0.0016107590395144922, -0.0002453735731210348, -0.0006824916177699003, 0.0011989290895936225, -0.0017279120022910231, 0.00019801409659613503, 0.00013609638970647173, 0.00230278253290201, -0.0006822811581884389, 0.00014684491546594023, -0.0002754604900181842, -0.0004476593215417649, 9.585784933013126e-05, -0.0005972239978507629, 0.0012530936897348413, -0.000678382172899882, 0.0015179254023192194, -0.00023625185947551245, -0.0002947434662899053, -0.000960941136159415, -0.0006963581766993368, 0.0009865369205584672, 0.0012074975255521145, -0.00020274825952302857, -0.00120909555195042, 0.0025452853513612773, -0.0007695752553282697, -0.001488136074561146, -0.0015563785291124988, -0.0012573977912150149, 0.00035849323345353963, -0.0007456272709285871, 0.0009739798651811894, 0.0003304806504760956, 8.963352065377789e-05, 0.002268909658337326, 0.0011441480809055407, 0.0004913980382555834, 0.0007811866657533534, 0.0005240962287266589, -0.00013015929787727368, 0.0003054799414513929, 0.0002019347801951018, 4.9806096620676985e-05, -0.0011751399934955941, -0.0008623064510124941, 0.0002615618422881856, -0.0007779294789265108, -0.0008840849960211088, -0.000992272146023288, 0.000612750673142628, -0.00034198539938086415, 0.001130038596765445, 0.0008032886044372248, -0.0009191220211785466, -0.0006629261425910624, -0.0004652860363224526, -0.0005331639627670763, -0.0007996928783742048, -0.00037511832181313226, 0.0006819252782221366, -0.000101499559286045, 0.0009684399042533345, -0.0013026382714567265, 0.0013549409465143886, 0.00018823038573928942, 0.0008642461377116131, -0.0009029473512479377, 2.935458566875361e-05, -0.00021948575860588444, -0.00020766282160192685, 0.0008947767242629481, -0.001657005571588533, 0.001243276566285808, 0.0005865992463692917, -0.0010047722374904218, -6.0672510695626824e-05, 0.00033601046370280925, -0.001289180502381408, -0.0019494557376847732, -0.0012818494605039753, -5.70299360708452e-05, -0.0005477695794750529, 0.000529197108678581, 0.000353364757132232]	200	3	200	50	5	1207	10000	1	5	0	5000	1	5	0	5000
/Users/beichenberger/Downloads/20190705_FISH/ATF4_6h_8_w4conf640.stk	3	3	278.1666666666667	146.17046745343453	1	278.1666666666667	146.17046745343453	1	0.9781389646178	[-0.000748663048128763, -0.0006219342292910412, -0.000608048430642109, -7.528236011195076e-05, 0.001333444379566677, 0.0011975722553450323, -0.0003649643556904361, 0.0012533576023446046, -0.0004886221484913354, -0.0007667259757439129, -0.00036058816923970717, 0.0005957845411648013, 0.0005971276661505002, -0.0007041172665175388, 0.0014674172491293918, -0.0004092238639089856, -0.00022471501894855324, -0.00039371277115971123, 0.0006152131672948278, -0.0008716538957496049, 3.330981296949201e-06, -0.0007478062800897593, -0.00034011808255928004, 0.0005459883618822151, 0.0007016615754651987, -0.00018430634959274009, 0.00014400305867603416, -0.00044124749324713164, 0.0007725681088010738, -0.0004998001497092078, -0.0007334946625950991, -0.0008178201329538574, -6.576248721866427e-05, -0.0007439913536597925, 0.00010982878764955744, 0.0008901659350889657, -0.0005002700895437765, -0.0007528258121218703, 0.0015264726796502882, 0.0010375546634660605, -4.767390786582277e-05, 0.0002981546111789679, 0.0005815426963966665, -7.896287143639443e-05, -0.0002506643168005803, -0.0004249083624050728, -0.00096161864412319, -0.000737354736083403, -0.0008123029572104685, -0.0007189357623490532, -0.0007873766506577107, 0.0007420466452223285, -0.0006097486278165218, 0.00030307256232981497, 0.0006659389655514701, -0.0008810116496606542, -0.0008854145139185856, 0.000403421134122231, -0.0008618395409075854, -0.0008577270543203608, 0.0013046672341511711, -0.0005040798856262019, 0.003117557622601014, -0.0006060927421602622, -0.000810755644392716, 0.0009074069810283743, -0.0001195962500144137, 0.0008810749592499417, -0.0007675509356281763, 0.0010961021895805987, -0.0009039155732135594, -0.0009765151212372913, -6.331633751209325e-05, -0.0008484154735371651, 0.0009050111087276797, -0.0005706635881257576, -0.0008622212387644847, -0.0008263908915524335, -0.0007068938106056214, 0.0009039009015202542, 3.192138206202414e-05, -0.0007358720656446447, 0.0028684730931677798, -0.0008282203734848244, 0.0001452363942243972, 0.0007065189885150789, -0.0005937870905533277, 1.7055687033154473e-05, -0.0009226505763563096, 0.0011283176939167017, 0.0015385218138802852, -0.0003326154623183134, -0.0007626278541297918, 0.0003393574583338137, 0.0008521244080876348, 0.001135538145043023, 0.000626486592976916, -0.000894266415562296, -0.0005366514360815123, -0.0006189237413551875, 0.0006788889888092862, -0.00013272275722757542, 0.00021093562480823693, 0.001321436288116997, 0.0005903761287892358, 0.0013564191019156157, 0.001436980949319804, -0.00021901315069376663, -0.0002787488652983204, 0.0009091307778014666, 6.138291583921693e-05, -0.00036047940587188116, -0.0008270660452885596, 0.0004805312837022115, -0.00011521288107713, 0.0010330707397170136, -0.0004189284293136696, -0.0005209320512221587, -0.0005344412823617298, -0.00020491495565671543, -0.0008819197211750509, -0.0005105831141665794, -0.0005812146608743707, 0.00012020337644283143, -4.590701617340575e-05, 0.0018568988693136303, -0.0007779173158653859, 0.0009154144274671826, -0.0005646025955432374, -0.0008179678869629803, -0.0005450888056440766, 0.0003889792058000814, 0.0008826253502762177, 0.0006897417259931956, -0.0004911288362988715, -0.0009138704995781447, -0.0003946136601875517, -0.0008009156378130045, 6.0125980692177197e-05, -0.0008414741133169581, -0.0007965938330461903, -0.0009260858570683914, 0.0014044884062165927, -6.424903469467588e-05, -0.0002621255132025995, -0.00030277017854520727, -0.0005459691732817598, -7.982476982293725e-05, -0.00040894682514188693, -0.0006957476175424881, 0.0007077810540096629, -0.00044097866303608997, 0.0005666215936143762, -0.0008462340497635965, 0.0007331639614933894, -0.0007079578446851989, 0.0010219604590866582, -0.0009294472607759122, 3.9206475567334574e-05, 0.002098676757781899, 0.0015439876861482644, -0.0006081992628597585, -0.0008945742364146371, 0.001872819363796509, -0.0007506177105411032, 0.0006502452324298107, 3.995448023852382e-05, -0.00048067524015349823, -0.000518923007125902, -0.00025501177330508867, -0.0002829926887825446, -0.0008926154697242634, 0.003028301888257326, 0.0005031940809207873, -0.0005704429831815835, 0.00021941095894258827, -0.0008073891103376587, -0.0006178761243877301, -0.00011255536105195147, -0.0006538295999407162, -0.0008471451994865169, -0.0007060247297325226, -0.00042985606957164077, 8.382510811361321e-05, -0.0009402291991637808, 0.0001715396860566112, -0.0008527300958174227, 0.0017969620450855562, -0.0009031213954145301, 0.0017442415677057527, 0.0002536775762247667, 0.0004273583096694813, -0.000402354328554328, 0.0008546680343974474, 0.003029450060036532, -0.0008993947109622343, -0.0008580164059215605, -0.0008747546778021485, 6.066158897524087e-05, -0.0003886747698764646]	200	3	200	50	5	1207	10000	1	5	0	5000	1	5	0	5000
